TCP-SYN,TCP-FIN,TCP-OTHER,ARP,DNS,ICMP,SMNP,OTHER
144,117,1037,26,184,0,0,1356
185,132,892,10,213,9,0,926
288,239,1509,12,216,6,0,1231
210,157,1193,18,224,3,0,1657
177,132,1136,18,286,6,0,1878
334,290,1075,14,160,3,0,380
443,399,1501,8,20,3,0,581
453,418,1703,8,6,0,0,559
398,355,2167,18,170,0,0,1267
286,246,1688,10,190,0,0,1492
301,268,1642,6,176,0,0,1182
446,424,2491,22,200,9,0,2834
152,123,906,12,178,6,0,981
256,220,1908,8,146,6,0,2278
508,1191,2417,22,66,0,0,911
250,235,1300,16,44,3,0,769
358,350,1406,2,24,0,0,509
601,578,2276,12,40,0,0,830
474,452,1983,16,30,3,0,1187
437,427,1712,10,100,9,0,1104
284,272,1769,10,20,3,0,1428
640,603,2519,14,42,0,0,773
311,290,1891,4,80,0,0,1073
220,210,1512,12,10,0,0,1503
246,239,1577,12,20,0,0,1482
265,246,1688,14,28,3,0,1859
242,226,1631,14,88,3,0,2181
90,70,792,12,56,3,0,972
276,270,1414,4,24,6,0,852
168,150,1227,14,32,3,0,1258
