TCP-SYN,TCP-FIN,TCP-OTHER,UDP,TELNET,ARP,DNS,ICMP,SMNP,SMTP,FTP,FTP-DATA,SSHV1,OTHER
144,117,1037,0,1165,26,184,0,0,129,0,0,0,62,
185,132,892,0,695,10,213,9,0,147,0,0,0,84,
288,239,1509,0,937,12,216,6,0,207,0,0,0,87,
210,157,1193,0,1193,18,224,3,0,261,89,34,0,80,
177,132,1136,0,1308,18,286,6,0,429,32,20,0,89,
334,290,1075,0,196,14,160,3,0,115,0,0,0,69,
443,399,1501,0,357,8,20,3,0,115,32,8,0,69,
453,418,1703,0,340,8,6,0,0,156,0,0,0,63,
398,355,2167,0,1106,18,170,0,0,101,0,0,0,60,
286,246,1688,0,1095,10,190,0,0,318,0,0,0,79,
301,268,1642,0,1053,6,176,0,0,71,0,0,0,58,
446,424,2491,0,2419,22,200,9,0,238,64,20,0,93,
152,123,906,0,720,12,178,6,0,195,0,0,0,66,
256,220,1908,0,1948,8,146,6,0,258,0,0,0,72,
508,1191,2417,0,545,22,66,0,0,302,0,0,0,64,
250,235,1300,0,670,16,44,3,0,43,0,0,0,56,
358,350,1406,0,320,2,24,0,0,90,32,6,0,61,
601,578,2276,0,764,12,40,0,0,13,0,0,0,53,
474,452,1983,0,965,16,30,3,0,45,68,21,0,88,
437,427,1712,0,803,10,100,9,0,210,2,0,0,89,
284,272,1769,0,1301,10,20,3,0,15,0,0,0,112,
640,603,2519,0,545,14,42,0,0,172,0,0,0,56,
311,290,1891,0,996,4,80,0,0,28,0,0,0,49,
220,210,1512,0,1444,12,10,0,0,10,0,0,0,49,
246,239,1577,0,1402,12,20,0,0,27,0,0,0,53,
265,246,1688,0,1405,14,28,3,0,264,79,34,0,77,
242,226,1631,0,1564,14,88,3,0,265,161,126,0,65,
90,70,792,0,796,12,56,3,0,109,6,0,0,61,
276,270,1414,0,722,4,24,6,0,64,4,1,0,61,
