TCP,HTTP,ARP,OTHER
3891,599,6,725
1675,222,14,1012
3058,498,4,648
3516,485,18,1712
4163,634,8,1176
4413,656,2,977
3719,432,40,1723
3710,473,14,3006
3695,451,6,3232
2876,367,10,1293
1932,296,12,602
3112,352,10,3146
3593,374,6,5542
3361,336,10,2605
3444,388,16,2969
38548,300,8,2156
110700,404,12,2008
116662,708,12,1511
104117,372,10,2121
112777,168,14,2266
132880,549,8,2658
115613,326,20,2949
124273,515,14,1721
126104,455,6,1931
120126,321,4,2431
109539,412,16,2260
2177,245,10,1544
2901,341,16,1641
3297,278,14,12681
2389,236,8,2068
