TCP,HTTP,ARP,OTHER
0.9628694005,-1.0217471721,-0.9773336649,1.0362114365
-0.5409427301,-1.1325988411,0.1211486323,1.5523929389
-0.4153108261,-1.1820385051,0.0388919837,1.5584573475
-0.1785785064,-1.2345209792,-0.1436392334,1.5567387191
0.98780563,-1.0073345051,-0.9925644865,1.0120933616
0.740245447,-1.1359393576,-0.8227880477,1.2184819583
0.9128479739,-1.0472383228,-0.9479329181,1.082323267
0.8728276548,-1.0706791985,-0.9189753339,1.1168268776
0.9476912069,-1.0296030551,-0.9686093659,1.0505212141
0.7069562204,-1.1329483192,-0.8180001616,1.2439922604
-0.6421300353,-1.0748547178,0.1662720243,1.5507127288
-0.8312463381,-1.0201659604,0.3991953758,1.4522169227
-0.9112316362,-0.9770651112,0.4792998122,1.4089969353
-0.9156610089,-0.9755716319,0.4865714114,1.4046612294
-0.8421179173,-1.0133132345,0.4067926822,1.4486384696
-0.9130842452,-0.9719386625,0.4708353382,1.4141875695
-0.8309283584,-1.0107175484,0.3766822189,1.4649636878
-0.4426848806,-1.1373401853,-0.0044205338,1.5844455996
-0.6830861288,-1.0736348246,0.2311868716,1.5255340817
-0.8028587226,-1.038416294,0.3812106698,1.4600643469
-0.8929282537,-0.9840433816,0.4522623622,1.424709273
-0.8299053703,-1.0234693051,0.4040647138,1.4493099616
-0.903371602,-0.9817082538,0.4716866483,1.4133932075
-0.9170278429,-0.9839525508,0.5122927046,1.3886876891
-0.8427924849,-1.0208242307,0.4262961988,1.4373205169
-0.9184610394,-0.9866491836,0.5234687409,1.3816414821
-0.8480390263,-1.0267493676,0.4530390662,1.4217493276
-0.9086933298,-0.9810442679,0.4832009081,1.4065366896
-0.9048005426,-0.9777817046,0.4652549078,1.4173273394
-0.8358743142,-1.0177785944,0.4036504271,1.4500024815
