TCP-SYN,TCP-FIN,TCP-OTHER,UDP,TELNET,ARP,DNS,ICMP,SMNP,SMTP,FTP,FTP-DATA,SSHV1,OTHER
168,161,1618,0,1633,22,5518,0,0,179,30,15,0,111
488,469,1907,0,309,10,4896,6,0,227,2,0,0,105
428,400,1665,0,340,2,4568,0,0,80,0,0,0,69
193,176,1274,0,996,12,3675,0,0,57,0,0,0,100
184,176,1464,0,1231,12,3775,6,0,252,0,0,0,90
222,206,2271,0,2416,8,3482,0,0,28,11,1,0,97
285,270,2393,0,2545,6,3188,0,0,97,60,36,0,77
64,57,833,0,1176,16,4238,6,0,190,0,0,0,67
142,136,1417,0,1796,10,4246,0,0,145,13,1,0,80
76,72,1709,0,2306,8,4184,3,0,109,1,0,0,260
168,161,2060,0,1946,16,4144,0,0,156,13,2,0,116
150,129,1503,0,1769,8,3646,0,0,130,60,35,0,111
205,202,1898,0,2359,10,3258,3,0,56,12,1,0,63
151,146,1814,0,2533,12,2868,0,0,14,1,0,0,118
248,233,1857,0,1787,8,2788,3,0,52,7,1,0,363
267,266,2263,0,2685,12,2652,3,0,73,169,188,0,170
284,277,1990,0,1837,6,2872,0,0,14,109,109,0,310
304,291,1913,0,1636,14,2862,0,0,0,0,0,0,69
201,177,2376,0,3026,12,2436,0,0,102,33,3,0,142
54,56,1120,0,1755,8,2322,0,0,112,14,4,0,59
110,96,1699,0,2456,16,2178,6,0,288,5,1,0,110
214,208,1855,0,2215,16,2231,6,0,463,33,432,0,115
168,165,1104,0,862,14,1701,6,0,330,0,0,0,109
310,301,1742,0,1263,12,2034,12,0,229,0,0,0,89
408,400,1793,0,745,8,2217,0,0,145,0,0,0,205
274,269,2124,0,2031,6,2067,0,0,90,0,0,0,344
314,304,1458,0,997,8,2346,0,0,116,0,0,0,70
180,166,1691,0,896,16,2158,0,0,82,0,0,0,434
216,204,1210,0,954,4,2124,6,0,72,0,0,0,93
