TCP,HTTP,ARP,OTHER
5049,596,16,4503
2053,235,10,3101
2985,487,14,1929
3120,517,12,2234
2549,357,6,2075
3906,615,12,911
2528,379,10,658
2188,306,10,526
3864,337,14,1080
3529,545,16,1202
2891,373,4,1082
3737,389,18,3182
3807,561,14,1578
4864,676,2,2149
29251,18923,20,2416
24387,16747,14,3667
4336,266,12,2214
3655,325,6,1082
4174,473,6,874
3156,316,18,1948
3296,262,8,1047
1550,64,32,773
3315,394,27,956
4861,662,6,818
2042,290,10,856
2975,444,8,974
2847,397,12,1002
1653,142,8,1265
3132,405,10,1633
2904,298,10,1791
