TCP-SYN,TCP-FIN,TCP-OTHER,UDP,TELNET,ARP,DNS,ICMP,SMNP,SMTP,FTP,FTP-DATA,SSHV1,OTHER
50,44,653,0,521,10,42,8,0,199,0,0,0,181
148,135,943,0,563,8,60,7,0,287,107,109,0,71
80,80,990,0,747,22,56,12,0,357,40,10,0,202
91,85,623,0,488,12,96,8,0,297,0,0,0,78
174,166,638,0,298,12,192,10,0,356,0,0,0,119
246,252,1056,0,669,26,150,0,0,271,0,0,0,72
280,268,1452,0,831,14,100,3,0,229,11,1,0,104
336,312,2213,0,1907,12,64,0,0,223,32,10,0,159
162,157,1409,0,1494,16,50,0,0,79,68,39,0,77
682,661,3137,0,740,4,16,3,0,162,0,0,0,78
136,132,723,0,658,10,8,3,0,57,0,0,0,63
133,119,1275,0,833,16,46,6,0,166,0,0,0,241
197,192,1122,0,552,14,102,0,0,163,0,0,0,363
96,89,1140,0,816,14,168,3,0,260,0,0,0,531
200,187,1290,0,1031,10,50,0,0,231,0,0,0,215
158,154,1632,0,1211,4,66,0,0,90,0,0,0,613
382,379,1837,0,693,20,110,12,0,488,0,0,0,323
150,150,1114,0,733,16,60,0,0,212,129,76,0,62
140,138,873,0,632,12,34,0,0,182,193,93,0,108
82,76,535,0,362,12,26,0,0,71,0,0,0,216
72,67,525,0,463,8,16,0,0,40,0,0,0,157
102,93,1006,0,570,14,26,0,0,38,32,17,0,844
158,146,1292,0,1177,16,18,0,0,59,109,166,0,187
138,137,1326,0,1066,4,2,0,0,13,2,0,0,242
190,182,1644,0,771,14,44,6,0,159,0,0,0,909
128,115,823,0,285,10,32,0,0,51,0,0,0,202
218,210,1260,0,579,4,40,0,0,24,0,0,0,177
234,227,1285,0,417,16,34,0,0,73,0,0,0,260
138,129,1190,0,714,8,28,3,0,40,0,0,0,378
426,414,2015,0,715,16,114,3,0,281,129,77,0,494
