TCP-SYN,TCP-FIN,TCP-OTHER,UDP,TELNET,ARP,DNS,ICMP,SMNP,SMTP,FTP,FTP-DATA,SSHV1,OTHER
70,69,601,0,674,8,868,0,0,0,0,0,0,46
32,28,793,0,860,8,746,0,0,40,0,0,0,50
14,15,569,0,687,4,860,0,0,0,0,0,0,46
26,23,747,0,1182,8,978,0,0,0,0,0,0,49
8,8,333,0,553,8,964,0,0,0,0,0,0,50
78,75,451,0,465,4,830,0,0,0,0,0,0,46
86,83,458,0,246,12,872,0,0,0,0,0,0,51
70,64,506,0,402,4,880,0,0,0,0,0,0,46
166,154,605,0,181,10,898,0,0,31,0,0,0,51
118,111,515,0,160,8,750,0,0,0,0,0,0,45
94,94,631,0,686,2,614,0,0,0,0,0,0,47
215,202,1022,0,660,6,514,0,0,0,0,0,0,46
94,90,408,0,328,6,636,0,0,0,0,0,0,49
124,118,563,0,380,4,572,0,0,0,0,0,0,49
246,241,1031,0,670,14,372,0,0,11,0,0,0,50
104,98,818,0,998,8,650,0,0,0,0,0,0,48
76,64,601,0,633,2,670,0,0,40,0,0,0,51
82,79,583,0,545,4,632,0,0,0,0,0,0,44
122,121,471,0,216,8,618,0,0,0,0,0,0,47
32,30,465,0,427,2,648,0,0,0,0,0,0,47
44,44,612,0,632,6,602,0,0,0,0,0,0,48
150,152,908,0,350,6,600,0,0,0,0,0,0,49
16,17,248,0,328,4,830,0,0,0,0,0,0,48
82,68,822,0,1094,10,574,0,0,40,9,1,0,51
10,10,230,0,374,10,630,0,0,0,2,0,0,48
8,7,155,0,243,2,570,0,0,0,0,0,0,46
40,41,234,0,206,10,616,0,0,0,10,1,0,45
42,41,226,0,175,8,444,0,0,0,0,0,0,48
7,3,264,0,459,0,524,0,0,0,0,0,0,50
90,79,410,0,275,12,520,0,0,0,0,0,0,48
