TCP,HTTP,ARP,OTHER
0.9795648398,-1.0022625578,-0.9975279661,1.0202256841
0.997146888,-1.0016316411,-0.998362961,1.002847714
0.9946330605,-1.0030072894,-0.9969738088,1.0053480377
0.9923308313,-1.0044921614,-0.9954684026,1.0076297328
0.986284405,-1.0077204169,-0.9921560845,1.0135920964
0.9869852479,-1.0073908673,-0.9924974362,1.0129030556
0.9861799567,-1.0082498621,-0.9916209624,1.0136908678
0.9864357379,-1.0079178016,-0.9919591977,1.0134412614
0.9868962983,-1.0080570722,-0.991824907,1.0129856808
0.9785142625,-1.0119432515,-0.9877559991,1.0211849881
0.94828681,-1.0053634716,-0.9933147759,1.0503914375
0.9962363139,-1.0022484595,-0.9977419373,1.0037540828
0.9917717024,-1.0049313013,-0.9950227621,1.0081823609
0.9723790339,-1.0160287832,-0.9834641076,1.027113857
0.9797737867,-1.0105630486,-0.9891778309,1.0199670928
0.9873236738,-1.0070932036,-0.9928015832,1.012571113
0.8791408782,-1.0495030177,-0.9422290486,1.1125911881
0.8956560125,-1.045582915,-0.9480999967,1.0980268992
0.9404729935,-1.0313332935,-0.9664330792,1.0572933792
0.6858554814,-1.1412162401,-0.8027445431,1.2581053018
0.7027229881,-1.1182721228,-0.8336925035,1.2492416383
0.8164251613,-1.0848588227,-0.8954683094,1.1639019708
0.7721545093,-1.1098720104,-0.8594736322,1.1971911334
0.591159047,-1.1574952962,-0.7537424904,1.3200787396
0.6238958828,-1.1641485812,-0.7569022578,1.2971549562
0.8358089095,-1.0537912859,-0.9319673207,1.149949697
0.756804442,-1.0980724034,-0.8693785487,1.2106465101
0.817686078,-1.0880725804,-0.8921657677,1.1625522701
0.9699741634,-1.0142738989,-0.985177623,1.0294773584
0.9716513162,-1.003256746,-0.9963410915,1.0279465213
